Yendi,Ghana,Northern,2293801
Winneba,Ghana,Central,2294034
Wenchi,Ghana,Brong-Ahafo,2294086
Wa,Ghana,Upper West,2294206
Teshi Old Town,Ghana,Greater Accra,2294665
Tema,Ghana,Greater Accra,2294700
Techiman,Ghana,Brong-Ahafo,2294727
Tarkwa,Ghana,Western,2294768
Tamale,Ghana,Northern,2294877
Takoradi,Ghana,Western,2294915
Tafo,Ghana,Ashanti,2294938
Swedru,Ghana,Central,2294962
Sunyani,Ghana,Brong-Ahafo,2295021
Suhum,Ghana,Eastern,2295065
Shama Junction,Ghana,Western,2295385
Sekondi-Takoradi,Ghana,Western,2295458
Savelugu,Ghana,Northern,2295517
Saltpond,Ghana,Central,2295672
Salaga,Ghana,Northern,2295684
Prestea,Ghana,Western,2295840
Kasoa,Ghana,Central,2296458
Akim Oda,Ghana,Eastern,2296564
Obuasi,Ghana,Ashanti,2296606
Nungua,Ghana,Greater Accra,2296969
Nsawam,Ghana,Eastern,2297141
Nkawkaw,Ghana,Eastern,2297313
Navrongo,Ghana,Upper East,2297505
Mampong,Ghana,Ashanti,2298264
Medina Estates,Ghana,Greater Accra,2298330
Kumasi,Ghana,Ashanti,2298890
Kpandu,Ghana,Volta,2299233
Konongo,Ghana,Ashanti,2299349
Koforidua,Ghana,Eastern,2299522
Kintampo,Ghana,Brong-Ahafo,2299625
Keta,Ghana,Volta,2299645
Hohoe,Ghana,Volta,2300372
Ho,Ghana,Volta,2300379
Gbawe,Ghana,Greater Accra,2300721
Foso,Ghana,Central,2300883
Elmina,Ghana,Central,2301190
Ejura,Ghana,Ashanti,2301217
Dunkwa,Ghana,Central,2301400
Dome,Ghana,Greater Accra,2301639
Cape Coast,Ghana,Central,2302357
Bolgatanga,Ghana,Upper East,2302821
Bibiani,Ghana,Western,2303060
Berekum,Ghana,Brong-Ahafo,2303125
Begoro,Ghana,Eastern,2303236
Bawku,Ghana,Upper East,2303287
Axim,Ghana,Western,2303611
Asamankese,Ghana,Eastern,2304220
Apam,Ghana,Central,2304389
Anloga,Ghana,Volta,2304548
Akwatia,Ghana,Eastern,2304931
Agogo,Ghana,Ashanti,2305537
Achiaman,Ghana,Greater Accra,2306079
Accra,Ghana,Greater Accra,2306104
Aburi,Ghana,Eastern,2306119
